seed,n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,projection_box_coverage,mean_width
20274716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20274716,6,0.2,rule_aware_partial_identification,250,0.8,0.916,0.851481678713
20275716,4,0,rule_agnostic_partial_identification,250,1,1,1
20275716,4,0,rule_aware_partial_identification,250,1,1,0.825193993546
20275716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20275716,4,0.05,rule_aware_partial_identification,250,0.956,0.976,0.817809254925
20275716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20275716,4,0.1,rule_aware_partial_identification,250,0.896,0.944,0.816481606194
20275716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20275716,4,0.2,rule_aware_partial_identification,250,0.784,0.888,0.804828343581
20275716,5,0,rule_agnostic_partial_identification,250,1,1,1
20275716,5,0,rule_aware_partial_identification,250,1,1,0.841633464635
20275716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20275716,5,0.05,rule_aware_partial_identification,250,0.96,0.98,0.844821269376
20275716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20275716,5,0.1,rule_aware_partial_identification,250,0.88,0.952,0.841678946288
20275716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20275716,5,0.2,rule_aware_partial_identification,250,0.812,0.932,0.835051407674
20275716,6,0,rule_agnostic_partial_identification,250,1,1,1
20275716,6,0,rule_aware_partial_identification,250,1,1,0.863508410788
20275716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20275716,6,0.05,rule_aware_partial_identification,250,0.928,0.98,0.862262443664
20275716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20275716,6,0.1,rule_aware_partial_identification,250,0.9,0.948,0.860823742569
20275716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20275716,6,0.2,rule_aware_partial_identification,250,0.844,0.952,0.864113682166
20276716,4,0,rule_agnostic_partial_identification,250,1,1,1
20276716,4,0,rule_aware_partial_identification,250,1,1,0.821523362629
20276716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20276716,4,0.05,rule_aware_partial_identification,250,0.932,0.952,0.821839732369
20276716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20276716,4,0.1,rule_aware_partial_identification,250,0.904,0.96,0.818195897408
20276716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20276716,4,0.2,rule_aware_partial_identification,250,0.82,0.908,0.808331280134
